,What class does the SI leader support?,Is this a full observation or coaching session?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:,Session Requirements: [Session plan utilized (as far as you can tell)],Session Requirements: [Agenda displayed/shared],How was the session opened?,Which collaborative techniques did the SI Leader use during the session?,Space use: what was the structure of the room and its purpose?,The SI Leader... [Uses a variety of collaborative techniques & learning activities],"The SI Leader... [Uses activities that serve a broad range of learning styles (visual, auditory, kinesthetic)]",The SI Leader... [Includes or mentions study strategies or tips],"The SI Leader... [Redirects a majority of questions (to a student, the group, or source materials)]",The SI Leader... [Breaks down large concepts without re-lecturing],The SI Leader... [Allows students to process question or prompt before providing insight (wait time)],The SI Leader... [Consistently and effectively checks for understanding],"The SI Leader... [Actively encourages student interactions by moving around the room, having students scribe, break-out groups, etc]",The SI Leader... [Makes sure information is correct],The SI Leader... [Balances having a productive and flexible session],What are areas of improvement or strengths for the SIL from above?,Rate the SI Leader on the following: [Demonstrates respect for all students],Rate the SI Leader on the following: [Makes an effort to connect with all students],Rate the SI Leader on the following: [Fosters a comfortable learning environment for all students],Rate the SI Leader on the following: [Praises & encourages students for their contributions],Rate the SI Leader on the following: [Knows and uses the students' names],Rate the SI Leader on the following: [Behaves in a professional manner throughout session],Rate the SI Leader on the following: [Models excitement for the subject],Rate the SI Leader on the following: [Greets and actively incorporates all students (including late comers) into the session activities],Rate the SI Leader on the following: [Most people participated in the session],"Rate the SI Leader on the following: [Learning was student led (for example, SI participants hold the marker more than the SI Leader).]",What are areas of improvement or strengths for the SIL from above?,How many students were present in the session?,How did the session close?,Overall areas of strength for SI Leader. (Please copy your answer below into the email you send to the SI Leader.),Overall areas of improvement for SI Leader.  (Please copy your answer below into the email you send to the SI Leader.)
,GCIS 2123,Full observation,,,,Unsure,Yes,Not sure if an opener was done - students came to session  >15 minutes late so I think the SIL just went straight into the content. ,"Turn to a partner, Individual Presentations, Assigned Discussion Leader",Promoted collaboration,Somewhat,Somewhat,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Using study strategies and tips, and using a wider variety of activites.",Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,N/A,2,Ran out of time for closer since there was another session right afterwards.,I like that the room was set up collaboratively and you encouraged students to sit towards the front. The students seemed comfortable chatting about the classes they were stressed about etc which is great. The content review was productive and all the students were engaged. ,"I would suggest showing up to your session a few minutes early so you can make sure the room is set up how you want it, you have your agenda on the board, SI materials ready, etc. If it's a recurring theme for students to show up late I would understand why you also show up right on time for sessions, but in general you should be a few minutes early. I would also suggest writing the agenda in more detail - for my sessions I'll write ""opener"" and then provide a few words description of what the opener is. This helps students understand what to expect or what they're doing when they show up late. I do like that you included the approximate timing for each of the activities on the agenda though! Finally, I would try and wrap up sessions on time since there's another session after yours."
,CSCI-243,Full observation,,,,Yes,Yes,He introduced a document for the students to all compile all the problems (and practice problems) the students encounter during the week into to later go over during SI sessions. It's a really great way to make sure you're addressing students' weak points while also introducing a good way for them to keep track of their own weak points and later address them.,Kahoot,Uncertain,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,"Areas of Improvement:
The students were spread out across tables which doesn't promote discussion. I am unsure if it was the intent, but the first activity ran for the entire session and no other activities from the agenda were done. There is nothing wrong with that since this was a review for the exam and the students may have needed it to fully understand the content, but more activities in the future will allow students to see different ways to learn the material.

Areas of Strength:
During the Kahoot, the SIL had the students explain their answers (whether right or wrong) to check for understanding. Also, when students asked questions, he made sure to first ask if anyone else knew the answer or could explain things (good redirection). To make sure all students participate, he directed some of his questions to specific students and used their names.",Yes,Yes,Yes,Somewhat,Yes,Yes,Unsure,Yes,Yes,Somewhat,"Areas of Improvement:
Since the activity was a Kahoot, the students weren't leading the session themselves.

Areas of Strength:
The students sometimes answered questions without being prompted which shows that they were comfortable in the session. Also, all the newcomers were immediately and effectively integrated into the session without stopping everyone else. ",4,The session went overtime so he started one of the other activities for the students. He had them complete a quick coding problem in pairs. This was a great way to get them collaborating and actively recalling how to code the solutions. ,"You showed a great use of redirection throughout the session by asking the group if they could explain something or if they knew something when asked questions. The use of the Kahoot was also a great way to make them actively remember the material. During the Kahoot, you had the students explain their answers (whether right or wrong) which was a great check for understanding. You also did a great job using their names.",The students were all at different tables which did not promote discussion or collaboration. You might get the students more involved and have them explain each other's questions if they were sat in groups.
,PHOTO TECH!!!,Full observation,,,,Yes,Yes,COLOR GAME! the one where you try and match the hue to get it as close as possible,Group discussion,Promoted collaboration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Strengths: I really enjoyed the activities!! The histogram gallery walk is such a classic and I'm glad to see that it got brought back this year - with new photos from you and SIL! It was cool to see the students debate each other on which histogram they thought was correct. This was such an active session overall and I loved it! You checked for understanding frequently throughout the session and students seemed really comfortable with the material. SLAY!

Improvements: n/a",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Strengths: SIL's session environments are always so awesome (though I am slightly biased lol). You can tell that the students are excited to be at SI because of Audrey's energy and excitement for photo tech! She is also so good with names and uses them frequently when interacting with students. Her sessions always feel so comfortable and she encourages the students that it's okay to make mistakes in SI.

Improvements: The only thing I have is that the table in the back was a little chatty, especially in the beginning. It might be beneficial to split the table groups up more evenly or have students move closer to the front, but they did fine as the session moved on and I think it helped that you had a really active session.",9,"AMA (ask me anything) - this was a cool activity that SIL and SIL did where the students could ask them ANYTHING they wanted about the class or about the upcoming exam. It's a great way for students to get any questions answered, especially at the end of a big review session. ",GREAT SESSION SIL!!! This session was so active and the students seemed to really love it. You checked for understanding frequently throughout the session and easily redirected students' questions to the large group. The students were engaged and worked hard throughout the session to review for the upcoming exam. You welcomed latecomers into your session with ease and ensured all students had a great time during session. ,N/A!! you did amazing!
,MATH-171,Full observation,,,,Unsure,No,The opener was Rose-Bud-Thorn.,Clusters,Promoted collaboration,Somewhat,Somewhat,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,"Areas of Improvement:
Have the students explain the answer after checking at times or ask related questions to check if they completely understood the material after each problem (checking for understanding). 

Areas of Strength:
The SIL first had the students list out the exam topics they found most confusing and needed to be reviewed, and then split the students to work on problems of the topic they most wanted practice with. This is a great way to have them all feel prepared for their weak points. The SIL didn't hover over the students while they were working and only stopped to give feedback once they'd finished a problem. ",Yes,Yes,Yes,Somewhat,No,Yes,Unsure,Yes,Yes,Yes,"Strengths: SILsession environments are always so awesome (though I am slightly biased lol). You can tell that the students are excited to be at SI because of Audrey's energy and excitement for photo tech! She is also so good with names and uses them frequently when interacting with students. Her sessions always feel so comfortable and she encourages the students that it's okay to make mistakes in SI.

Improvements: The only thing I have is that the table in the back was a little chatty, especially in the beginning. It might be beneficial to split the table groups up more evenly or have students move closer to the front, but they did fine as the session moved on and I think it helped that you had a really active session.",6,The session went overtime so there wasn't time for a closer.,"You didn't hover over the students while they were working or jump in with hints when they looked confused and only stopped to give feedback once they'd finished a problem. This is a great way to ensure that the students get the time and space to collaborate, discuss, and fill in each other's gaps while getting the solution. The session was also student-led and you allowed them to choose which topics to go over so their weakest points were addressed in a collaborative environment (shows benefits of starting study groups). After they finished the problems, you asked them some additional related questions to check their understanding.","Have the students explain the answer after each problem (you did for some but since topics changed throughout, make sure to ask for all).
Make sure not to spend too much time with one group that the other is standing without any new problem to work on for a while. Maybe give multiple problems at a time so if you're checking over one group's work, the other one still has a problem to practice with. Make sure to put the agenda on the board."
,ECON 101,Full observation,,,,Yes,Yes,"Having the students take turns listing out all the shifters for supply & demand, I believe as a quick reinforcement on basics","Group discussion, Jigsaw, Group survey",Promoted collaboration,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"As I somewhat expected from SIL""s experience with SI, this session was genuinely exemplary and utilized all the SI facilitation strategies masterfully. If I were to think of any area of improvement, I would say that the opener felt like jumping straight into a content activity (although it did still work well), and I'd be curious if the students prefer that or a shorter non-content opener. ",Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,"The energy was great, and he made certain to use the students' names and make sure both of them were participating equally. Here, the only possible change I can think of is perhaps praising the students a little more often. ",2,Spotle the Spotify game!,His mastery over the facilitation strategies and passion for the subject very much shine; going over everything done right would take paragraphs but overall his experience and creativity were awesome and the session was very fun to watch. ,"Although it worked well as is, just as a suggestion, the opener felt like another content activity (even in length) so I'd like to see how it goes with a more conventional opener/what the students prefer. And more importantly, don't forget to keep an eye on the time! "
,CSCI-243,Full observation,,,,Yes,Yes,"The agenda said there would be a ""Question of the Day"" but it didn't happen.",Jeopardy,Chaotic / Unordered,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,"Areas of Improvement:
When waiting for the students to answer the question, give them more than a few seconds and you could turn that moment into a discussion (or a minute to look at their notes) since nobody will be getting points by that point anyways. Also, though there weren't enough people to make teams for the jeopardy, the SIL could have done a students vs SIL where the SIL got points when the students couldn't answer without her help. This would have still allowed them to collaborate and kept the competitive spirit.

Areas of Strength:
She did a great job asking the students additional questions to check for understanding after each problem. The students were all involved in the problems and the additional diagrams were a great way to ensure the students understood if nobody had a clear idea of what to do next. There was a good use of redirecting questions when the students struggled with a problem.
During the coding portion, she partnered people up which made it collaborative and let the students work on the solution without hovering over them. ",Yes,Somewhat,Yes,Somewhat,No,Yes,Unsure,Yes,Yes,Yes,"Areas of Improvement:
Use the students name more often when their turn comes up.

Areas of Strength:
All the students were actively involved as they were invested in the game and so the learning was student-led. ",4,There was no session closer.,"You did a great job asking the students additional questions to check for understanding after each problem. The students were all involved in the problems and the additional diagrams were a great way to ensure the students understood if nobody had a clear idea of what to do next. There was a good use of redirecting questions when the students struggled with a problem.
During the coding portion, partnering people up was a perfect way to make it collaborative. You also let the students work on the solution without hovering over them (great wait time and students actively remembering how to code solutions). ","When waiting for the students to answer the question, give them more than a few seconds and you could turn that moment into a discussion (or a minute to look at their notes) since nobody will be getting points by that point anyways. 
Also, I had a little suggestion for the Jeopardy activity. Though there weren't enough people to make teams for the jeopardy,  you could have done a students vs SIL where the SIL got points when the students couldn't answer without your help. This would have still allowed them to collaborate and kept the competitive spirit."
,MATH-171,Full observation,,,,Yes,Yes,The student drew 13 parent functions on the whiteboard,"SIL planned for the student to work in groups, but there was only 1 student",Promoted collaboration,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,"The activities in the session all seemed to be very similar, a slideshow with questions and the student answering them on the whiteboard. Since this is a bonus session, I only observed the first half, so it could have been different in the second hour.",Yes,Yes,Yes,Yes,Yes,Somewhat,Somewhat,Yes,Yes,Yes,"I feel like the session had very low energy, there was almost no talking because there was only 1 student and he was working quietly by himself on the board. SIL told me that he was tired today because people were being loud around his dorm last night, so that might be why the session was so low energy.",1,I didn't see the close because it was a bonus session and I only watched the first hour,"You gave the student  a lot of good personalized feedback. You caught it when the student made mistakes and you made sure to ask the student redirecting questions to help them fix their mistakes. Good explanation of the open circle. After you explained it, you checked the student's understanding by making them fix the previous question they got wrong. I also liked how you put the time of the professor's study session on the board.","The activities in the session all seemed to be very similar, a slideshow with questions and the student answering them on the whiteboard. But it's understandable to want to repeat similar questions to make sure the students are comfortable with the problems that will likely be on the exam.
I feel like the session had very low energy, there was almost no talking because there was only 1 student and he was working quietly by himself on the board. You told me that you were tired today, so that might be why the session was low energy."
,CSCI - 141,Full observation,,,,Yes,No,Had the student discuss high level ideas mentioned in class and then do an example of each. ,"Group discussion, Group survey",Promoted collaboration,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Unsure,Yes,Yes,"Could use some more redirection but used a variety of activities that promoted learning in different ways (discussion, examples, and a game). The session was very adaptable to what the student needed. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Has a very good relationships with the students and knows regulars by name. The student felt very comfortable and inquisitive. The only thing to improve in this area might be how student led it was. It was roughly 50 50 but with only one student this was handled very well.  ,1,factle [https://frontofficesports.com/trivia/factle/] --> worlde but with rank based trivia (todays was top 5 hottest countries),"* Great environment, the student felt comfortable and inquisitive.

* Used wait time effectively, giving time for the student to think
Check for understanding was phenomenal. The content was very well laid out to be student-led, allowing them to think through the content in their own way, and they went through ""what-if"" scenarios to verify their understanding.

* Specifically, I really liked how the SI handled the code examples. When the student was confused, the SI broke the code down into multiple sections and went piece by piece instead of just giving the answer. The SI acted more like a guide in place of a lecturer.  

* Went through study tips for an exam and was very reassuring

* Very adaptable to the size of the session and what the student wanted to focus on. ","* Make sure to have the agenda on the board, as it makes it easier for latecomers to join in and to keep track of the session. 

* Could maybe use some more redirecting  

* It might help to have the student walk through an example before jumping into code. For example, when doing sum(n) have them write out sum(5) first, then write the code. It seemed the student was having some trouble picking up what the method actually was at first. This might make it somewhat easier to pick it up. "
,GCIS-123,Full observation,,,,Yes,No,General Questions about the course and upcoming exam 1,Group discussion,Promoted collaboration,Somewhat,Somewhat,Yes,Somewhat,Yes,Yes,Yes,Unsure,Yes,Somewhat,"I think SIL had great activities that he would be able to make collaborative however he asked students verbally to solve the problem instead of possibly going up to the board to write it so other students could understand how the student got there, and explain it more possibly if people have issues with it. As well as it did feel a little bit like a lecture sometimes as the answer for some questions would be on the board instead of quizzing the students.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Everyone was very responsive to his questions, and everyone felt comfortable talking to each other which was great to see. Everyone had been participating when called upon .",4,Was a 2 hours session so I did not stay for the entire time.,"Your students do seem comfortable as well as are not afraid to speak when called on, good job fostering a community environment.","I have only seen the first hour, however It did feel a little like a lecture, as students stayed in the same seat the majority of the time. and you went through slides. However, students were openly discussing the questions. Make sure to put the Agenda on the board as well!"
,CSCI - 140,Full observation,,,,Yes,Yes,Emoji Kitchen,"Group discussion, Clusters, Group survey, Students created their own content and shared it with each other. ",Promoted collaboration,Yes,Somewhat,Yes,Somewhat,Unsure,Somewhat,Yes,Yes,Yes,Yes,"Wait time and redirect in particular could be used more effectively. There we're a few questions the SI didn't follow up with or would answer it soon after asking it.  Studying tips was phenomenal, as students discussed possible exam topics, question types, and exam tips. Likewise the session as a whole was basically a giant study strategy in disguise.   ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,The environment was calm and the students got along well. There was plenty of communication between students and the SI had a great relationship with them which definitely showed during the exam making portion as the SI was able to talk 1-1 with students. Overall there wasn't too much to improve in this section. ,3,Group discussion on how they feel about the upcoming exam ,"* The general vibe of the session was very relaxed, and students felt comfortable interacting with each other. 

* Promoted both study habits and exam tips. The overall session promoted different ways to study for exams (topic brainstorming, practice quizzes, study tip discussion, etc). Likewise, the idea of exam question tips was interesting, as the SI had students talk about how they approach different types of questions. 

* Adaptable. When the exam-making portion started, students made them independently, but the SI ended up dividing them into groups, which sparked communication, helped spark ideas, and seemed to speed up the process. 

* Has a good relationship with students. During the practice exam making, the SI was able to help out students 1-1. ","* Could have used wait time and redirection a bit more effectively. A few questions in particular were dropped soon after, when they could have been redirected to another student or rephrased to spark more conversation. 

* The agenda was shown at the start of the session, but wasn't kept up. The agenda being up on the board throughout the entire session might help any possible latecomers integrate into the session a bit easier. "
,MATH-101,Full observation,,,,,,Solve problems on post it notes and match them,Group discussion,Promoted collaboration,Yes,Yes,,Yes,Somewhat,Somewhat,Yes,Yes,No,Yes,"During the kahoot there was some information that wasn't correct. The question was to simplify sqrt(18) * sqrt(2). The kahoot said the correct answer was 18, when it was actually 6. SIL also gave an incorrect explanation to why the answer was 18.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Learning was somewhat student led. There were a few times SIL took over the marker and wrote a lot on the whiteboard.,3,Brain dump of writing formulas on the board that might be used in the exam.,"I think you did a good job getting the students to collaborate. It was good that you kept asking the students to come up to the board when they were reluctant at first. I saw that you tried to get the students to work together and help each other on the kahoot, but they were not talking to each other. My recommendation would be to pair up people before the kahoot and make them work together on only one device.","Make sure to double check your kahoot answers are correct! Also if you notice that the students seem to not understand your explanation of how to do a problem, you can change to an easier example until they understand it."
,Calc A (MATH-171),Full observation,,,,Yes,Unsure,"Everyone, in a round-robin format, wrote down some parent functions they remembered on the board.","Group discussion, Round Robin, Jigsaw",Promoted collaboration,Yes,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,"The session seemed very quiet / lowkey. That may work for some students but for others, they may prefer something more lively. Also, while there were hints of what was coming next (charts were drawn on the board that would eventually be filled out), there was no full on agenda that I saw.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,"There was one student who came a bit late, he seemed a bit unfocused and not involved on what was going on in the SI Session kind of throughout the whole session. ",6,"It was a 2-hour bonus session, I only stayed for the first hour and didn't see the end.",Variety in fun activities. All of SIL's activities were really cool! He also made good use of collaborative techniques.,"An agenda on the board, and also maybe forcing students who aren't participating much to do some stuff (like picking them as a scribe or having them answer questions). "
,GCIS-123,Full observation,,,,Yes,Yes,The session was opened with a review kahoot.,"Kahoot, Individual Coding Problems",Uncertain,Yes,,Yes,Somewhat,Yes,Yes,Yes,Somewhat,Unsure,Yes,"Areas of Improvement:
Try to add some more collaborative elements. For example, during the coding portion of the session, have them solve the problem together (especially since one of the students turned to you with questions they could have discussed with each other before coming to you). Or instead, when writing the test cases, have them work together since there was more struggle and they turned to you more than each other for help. You asked a lot of questions to hint towards the answer but not many redirecting one student's questions to the group.

Areas of Strength:
During the Kahoot, the SIL asked the student to explain their answers or asked questions related to the solution after each question (great check for understanding). Using different activities like Kahoots and coding problems was a great way to highlight how the exam will be split up. After the coding, having the students grade/understand each other's code to understand if it was correct was a great way to both check the code and make sure they understood ",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat,"Areas of Improvement:
There were a lot of times where a student was confused and the SI focused on helping them find the solution instead of trying to have the other students help each other find the solution. In those instances, learning became less student-led. At some point, one of the students finished working and the SIL helped the other towards the solution which left the first without anything to do. Instead, have the other student help the first find the solution.

Areas of Strength:
The students were very comfortable throughout the session. Everyone participated wholeheartedly and asked questions when confused.",2,There was no closer.,You did a very great job checking for understanding both during the Kahoot and during the coding activity by having them explain the answers. Using different activities like Kahoots and coding problems was a great way to highlight how the exam will be split up. You created a comfortable environment and the students were very comfortable throughout the session. ,"Try to add some more collaborative elements. For example, during the coding portion of the session, have them solve the problem together (especially since one of the students turned to you with questions they could have discussed with each other before coming to you). Or instead, when writing the test cases, have them work together since there was more struggle and they turned to you more than each other for help. You asked a lot of questions to hint towards the answer but not many redirecting one student's questions to the group (which sometimes made it less student-led).
Also, you could rearrange the room so the placement of the desks don't feel so chaotic. For example, you could move all the desks"
,MATH 171,Full observation,,,,Yes,Yes,"Although an untitled opener was listed on the agenda, it seemed like it went straight into content,  so I assume it was informally opened via the check in with students. ","Group discussion, Clusters, Think-Pair-Share",Promoted collaboration,Yes,Yes,Somewhat,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Yes,"The collaboration in pairs/clusters was good and inherently enforced wait time because he had to take turns going around to the clusters. However, I would have liked to see more redirecting questions, as he was sometimes quick to give hints.",Yes,Yes,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Somewhat,Yes,"His familiarity with regulars was great to see and he easily involved late comers; the session environment was excellent. My critique here is that there were some students who participated less than others and even though he did his best to rotate between groups very evenly, I would recommend prioritizing the students who seemed quieter and more lost over the more independent students when rotating who to check on. ",7,Asking them to explain one concept each from class,"The collaboration and atmosphere were great, as it seemed he was plenty acquainted with the students as were they with each other. The number of students that came to session along with one of them coming in and saying your study guide was great definitely serves to demonstrate this as well. Lastly, let’s go whiteboard problem solving! Nice job making sure it was all students doing the work.","There were some students who participated less than others and even though he did his best to rotate between groups very evenly, I would recommend prioritizing the students who seemed quieter and more lost over the more independent students when rotating who to check on. I additionally would have liked to see more question redirection; for example there were some times you pointed out what a student did right/wrong/“here’s another way he could have done this” and this would have been a great opportunity to ask the rest of the group “What’s another way he could have done this?”"
,CHMG 141,Full observation,,,,Yes,Yes,Opened the session with a review question about stoichiometry,"Group discussion, Clusters, Turn to a partner",Promoted collaboration,Yes,Yes,No,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,"The tables in the room were set up in a half-circle shape and it promoted collaboration as the students worked with the partners that they were assigned to. SIL checked for understanding by checking what students were writing in the whiteboards and did very well at redirecting questions by asking questions back to the group. She was quick to answer a question or give feedback, so wait time could be improved upon.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,"The session atmosphere was really good. The students were talkative and comfortable participating. SIL knew students names and all of them had name tents, so she could reference them. ",7,The closer was having students say what they content they need more practice with for next session.,"
You do a really nice job leading the session with confidence, which makes the environment feel structured and supportive. You do a great job at redirecting questions to the students, such as when you asked them to work through the stoichiometry problem. That encourages participation and makes students think critically. You also make an effort to learn students’ names, and the name tents are a great touch to build connection. I like your use of the mini whiteboards-they’re very effective for collaboration and keep everyone engaged.","An area of improvement is wait time, you tend to jump in quickly with feedback and comments, but giving students a few extra seconds to process could help them develop their understanding more fully. An extra tip is you could also be making use of the large movable boards in the room. Having students stand and work in bigger groups could encourage even more interaction and teamwork. "
,CSCI 141,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), Weekly emails","* The session plan was strong overall, keeping students engaged in group work. In particular, I liked how the first half served as a refresher and the second half worked as a comprehensive check for understanding, with a gradual increase in difficulty that built on prior material.

* The closing check-in on exam readiness is a great strategy to get to understand how your students feel about an upcoming exam and find out what topics you might want to cover. The SI could maybe incorporate some more into this section. For example, a Google form to get people's feelings anonymously, and or could incorporate a discussion on possible study habits.  

* The SI is very self-reflective and has adopted the SI model well. During the mock activity, all facilitation strategies were used.

* Marketing is solid, but could be strengthened by promoting sessions in the lab to the entire class and incorporating a possible reward system. What really stood out to me was that the SI is already engaging with, building connections, and promoting SI outside of class time, which is fantastic to hear. ","During coaching the SI brought up plenty of ideas. In specific, they felt it was hard to find old SI material for session ideas. I directed them to some old resources in SIShare, but it's definitely hard to find some of this material and or add onto it from their perspective. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MATH-171,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), Collaborating with professor to gain ideas for their session, Weekly emails, Other","The session plan was very well thought out. There was a brain dump which was a great way to get the students discussing the material and it would allow the students to explain it to each other. The Kahoot would allow them to both practice and explain their understanding of it to each other. Altogether, it's a great session plan. The only thing I would try to add to this is to gamify the activities a little bit so that the students find it more interesting.","She sends emails, writes reminders on board, asks professors for announcements, and mingles with students during workshops.
She won't give additional materials as incentive for session attendance because they already have ungraded homeworks that they don't do.
She speaks with the professor about what to focus/how to focus on topics during the session when she has any confusion or wants guidance.
We discussed a student who isn't participating in group activities. I suggested trying to speak with them about it and remind them to participate in the activities and address any concerns they might have. Also, using a group-based activity for the opener or closer might create a more comfortable environment in which they might feel more at-ease participating in.
Altogether, she's doing great with marketing and reaching out to students. My only suggestion is that she check in with more students in the class either in-person or through a form to see what they want out of the sessions or why they aren't coming to sessions now.
(This is right after the exam which may be why attendance dropped.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Math - 101,Full observation,,,,Yes,No,Study Habits,"Group discussion, Round Robin, Group survey",Promoted collaboration,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Nothing to negative here, the SI used many different strategies, integrated study habits right into the session, and for any subject included many different ways of visualizing and understanding the same information. Very student led, and checked for understanding by passing the marker between the two students. In particular had one student come up with an example and another to solve it to check for understanding. The only small thing I can think of, is that the agenda was not displayed. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Once again, really nothing too much to comment on negative. Very positive, excited, and reassuring. She incorporated students that we're a bit more quiet, got to know and used names, and adapted the session to what the students felt they were not comfortable with. ",2,Recap / Check in,"* Used all facilitation strategies well. In particular, checking for understanding via two students by having one create an example, then the other solve it.

* If the wait time or the redirect doesn't work, the SI would have them go through their notes, which promotes good note-taking and allows them to find a template they can use for problems.

* The SI was very reassuring, excited, and approachable.

* Throughout the session, the SI used a variety of learning methods, such as whiteboard and paper activities, and introduced many ways to interpret the information, such as visually with the number line or metaphorically, such as bleach on a carrot. Even the idea of showing a dance to remember the sign flip was extremely clever to help them remember.

* I think my favorite thing has to be the use of the boardwalk model. It showed the students a study habit and centered the session around it. At the start, the SI asked what areas they felt comfortable and not so comfortable in, which is a great way to adjust your session as needed, i.e, focus on areas the students are struggling with more than others. Then, on top of that, the model allows them once again to internalize the information in many ways (example/template, core knowledge, the math steps, and the ""narrative steps"")",Nothing too much to say here
,MATH 101,Full observation,,,,Yes,Yes,Hangman! They also adjusted the word to the student's comfort level,Only one student,Promoted collaboration,Yes,Yes,Somewhat,Somewhat,Yes,Somewhat,Somewhat,Yes,Yes,Yes,"Great job guiding the student through the practice problems; I know it's especially difficult when there's only one student who doesn't like to take initiative, so she did a good job being a little more generous with hints but I would still advise asking more questions or redirecting to notes since the student did have his notes out. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Basically perfect job at being understanding welcoming from what I could see. She was very patient and respectful toward the student. The main area of improvement would only still be that I'd recommend giving them more time to figure things out on their own. ,1,She planned a story train but the student wanted to leave early so she gave him the choice to do that or go over the quiz.,"Super patient and respectful, great job guiding them through with a pace that worked for the student. And also nice job with adapting to a student who isn't super responsive; she kept it at a great energy level throughout.  ","Since there isn't another student to redirect to, feel free to ask them to bring their notes up to the board with them and redirect to that! They already brought it out, so their willingness makes it even easier. Also, these are general reminders, but have the name of your content activity in the agenda too and make sure to plan it to end ten minutes before the hour! (So at 5:50, not 6:00 as your agenda suggested) "
