,"What are your thoughts about the opener, activities, and closer?",Describe how the SI Leader interacted with the students. How did they foster a comfortable and productive learning environment? ,Describe one thing the SI Leader could work on improving?,Describe one thing the SI Leader did very well.,What general feedback would you like to share with the SI Leader?
,"Opener:
Opener was fun and interactive; it allowed every student to participate by making a sentence to coherently combine them together, fostering collaboration among each other (it was Mad Libs).

Activity:
Activity was very SI spot on. The activity was some type of round robin, where Joe had the student(s) walk around and select answers by going to the correct table, each one having different derivatives. He never gave the answer directly and always hinted at what could be possibly right, while also having students explain the answers to each other!

Closer: Did a arobic trick with the students! ","Joe was very comfortable with the students, and they were comfortable with him. They clearly trusted him and weren’t afraid to ask any questions, no matter how small. Joe fostered a collaborative environment by making fun examples and engaging in back-and-forth conversations with the students.","Make the agenda more descriptive when written on the board—perhaps list the specific tasks for each section in case a student is interested. Also, consider incorporating more whiteboard examples or showing steps on the whiteboard, might help students to look at your work as reference ie. like doing a example together first with the professor before getting into the work. ","The learning activity was really good, very collaborative with having the students walk around and never be sitting down. ",Great job—students clearly enjoy being in the classroom. I would suggest making the agenda more descriptive and  incorporating examples with steps on the board. Other than that great job being an SI so far. 
,"Opener (Rose, Thorn + Buds): Great way to get students talking in the beginning of the session.

Activities: Great job giving the students incorrect problems so they have to identify the issues and correct them. Classic checking for understanding! Finding the second derivative problems are also great, but when doing the quotient rule it gets a little messy and take a long time to solve so you might want to do second derivative problems with rules other than quotient. ",She made the students feel comfortable by asking about how they feel their exam went. During the activity she allowed the students to lead the discussion on the board. The SI and the students had very good back and forward communication. ,You might benefit from having the problems already written on the board before session or you can project the question on the board so you don't spend as much time writing them n the board during session.,You did a great providing examples that cleared up the students question and concerns. I also really liked how quickly you got the late comer up to speed in the actvivty you were doing. Helping her one on one while the other student continued working on the activity was awesome especially as she needed a little more help!,"I love the first type of activities you have at your sessions, they work on very important skills like checking your own work! Love that the students asked for their candy lol."
,"Aaron started by asking the student how they felt about the midterm. This quickly turned into a discussion, a good opener activity to get a feel for how confident they are in the subject. During the session, they went through multiple coding activities with python turtle on the board, to prepare for the practical exam. The closer was a fun coding part, where the student drew a complex shape and Aaron had to make the code for it.","Aaron took a very personal approach to teaching. He guided the student through the problems, helping when needed and congratulating the student when they solve a problem. I also liked the fact that he took a multi-step approach to each problem; after each problem, the turtle shape would become gradually more complex. Aaron was asking the right questions on each step, inviting the student to challenge themselves: How would you do that? Do you want to draw that on the board?",Aaron could have delved into the questions that the student came into the session with instead of following his scheduled activities.,"He invited the student to explain their thinking out loud, and assisted with problem solving when needed.","Keep up the good work. Maybe change your A section to a different date or time, to "
,"Opener: 
The opener was a much appreciated derivative rules review which for a class that wants to get right into the subject is great for them to get into the right mind space. Putting music on during the session isn't something that I would have ever thought of even though its such a simple concept it allows the session to feel more welcoming which is nice to see.
Activities: 
(THIS OR THAT) This activity would enforce on what the student does or doesn't know with Katina showing constants/exponential functions and the student has to sort it out themselves. This activity I think was great at making students reiterate what they already know. 
(CONSTANT MULTIPLIER BREAKDOWN) What I like the most about this activity is how it built off the activity before this. The first activity allowed the student to practice the topic a bit so they could be ready to answer this activity with what they just learned.
(DERIVATIVE PRACTICE) Same concept as the last one with how it built of the activity before this. Even then Katina would make sure the student would have the EXACT correct answer even with the smallest of errors. Katina would also always ask the student for the steps they took. 
Unfortunately with only one student Katina's got finished up rather quickly. 
Closer:
Classic checking closer which works effectively to see what the students learned this session and allowing themselves to realize this fact too.",Katina has a very chill welcoming way they interact with students.  To improve the students learning environment Katina also moved a white board to a better position for them to write on. Throughout the session Katina always make sure the students understand why they got the answer they got even if they were right. This is basically the perfect learning environment a SI session is trying to achieve.,I think its important to have thought of backup problems in case sessions go faster than expected. So just for the future have just a small little side session in the back of your mind or coming up with one on the stop I think would be important to think about.,Katina is amazing at checking for understanding. I would always hear no matter the problem the student talking about it more than Katina himself. He is great at applying the self learning SI wants. Most of Katina's activities would want more than one student in attendance but even he was able to mold this session easily for the one student that showed up.,Keep up with the great sessions Katina! I really liked how everything was organized and conducted!
,I think the opener and closer were cute! They related to the students' interests and that seems to help foster a good relationship with the students.,"- He seem to know the students' friendships & relations well enough to leverage them to have others come.
- The choice of activity helps with setting a friendly mood for the session.
- I like that he were friendly wit the students and acted like you were just another classmate.
- I like that he complimented the students when they were doing well to build some sense of competition among the students.","I think he could consider coming up with other activities that don't just involve one person doing the problem.
The SIL could also consider doing the facilitation methods more, primarily redirecting questions and wait time.","- I like that he wrote the title large & big.
- Fostered/maintained a sense of rivalry among the students to get them to come to sessions
- Remembering names of other classmates who might not come to sessions
- Participating in students' conversations.","In general, introduce more variety and flavor in activities, and practice the facilitation methods more. I think it's great that you're able to maintain a welcoming and fun environment for your students. Keep up the great work!"
,"	The opener was a unique and fun way to gauge the general mental state of the room. The students were engaged in the activity and communicating clearly with one another. 
The activities had many interactive elements, which were a good way to keep the students engaged. Additionally, the students were tasked with activities which would clearly demonstrate the skills they learned in class. The SI leader also allowed the students to work through the problems on their own, rather than simply relecturing the students. The SI leader was clearly prepared with different activities and  problems for the students to solve. 
The closer was a good way to wind down from the activities, and allowed the students to continue engaging with one another in a less educational setting. ","
	The instructor was very friendly with the students, and had familiar and open discussions with them about the class. The SI leader would also give the students prompting answers to questions, rather than just giving them the correct answer. The SI leader gave the students adequate time to work on the activities, and didn’t rush or pressure the students, allowing them to learn at their own pace. The students were eager to attend the SI leader’s session, and clearly gained a lot from the session, learning more about both the subjects taught in class and the basic foundations behind them. Students were encouraged to collaborate with each other and openly discuss the problems being solved. The overall atmosphere was very welcoming and engaging.  ","	One thing the SI leader could improve on is giving some clearer instructions on activities, as some students seemed confused initially. This wasn’t a major issue however, as students were soon able to grasp the activity and go about completing it. ","The SI leader did a good job of not simply giving students the answer, rather the SI leader would help them find the right path forward. When the students encountered a difficult problem, rather than directly explaining the solution to the problem, the SI leader led the students in the correct direction. Students were also encouraged to collaborate with each other to find the correct answer, rather than just seeking confirmation from the SI leader. After the students were able to figure out the correct answer, the SI leader gave them a good amount of positive reinforcement, giving them the confidence to move forward in solving the given problems for the activity.","The session was very fun and informative, and I felt that it was a good way to review the material learned in the class. The students seemed to enjoy collaborating with each other, and the SI leader ensured that the environment of the session was very welcoming and educational. "
,"The opener was fun, Rylan got people up to write on the board about their favorite brands and speak with each other.","Generally there is good banter among the group.
Rylan is good at being comfortable with letting the students speak and figure things out themselves.
He always turns the activity into an active or visual form for the students.
He also tries to include everyone into each discussion or activity.",Maybe he could do more checks for understanding with students that struggle with the material. He is good at addressing the problem they have understanding but after they work through the problem the students don't really prove that they understand the general concept.,He does a good job with letting the students talk without interrupting or taking too much control over them.,"Overall Rylan has a very active and fun SI session. He does great at interacting with the students and letting them explore the topic and activity with minimal guidance.
The big point of improvement is finding a way to get the struggling students more active and improve their understanding."
,"The opener was a PIXAR film Tier List. I thought this was a really good opener and something I will definitely use in my sessions. Will did a crossword for his activity, and this was a really good way to go over all of the different vocab you need to know/use in programming. The second activity he did was two teams, which was a game where the two students who came would race to solve different types of problems.  The closer that was planned was the connections game. ",The SIL had a very welcoming environment and had great conversations with the students who came. The vibe of the session was really chill and allowed the students to just have genuine conversations with him. The students seemed very comfortable with him and each other. ,"The SI leader could work on not just saying yes when the student gets the answer correct, however when were really good at giving clues when the students didn't know or weren't sure about the answer. ",The SI leader did a great job talking to both of the students who came and creating a warm and welcoming environment. The SI leader also did a great job with planning this lesson because it seemed very well thought out. ,"The students were really good at explaining things to each other,  and what they got right to the student who got the question wrong. "
,"They didn’t do an opener since student was 10 minutes late, so we went straight into the activity which was going over exam and quiz problems students had struggled with. The other activity was nice if there were more students, but they had a problem and alternated who did the next step and explained their process between steps. Overall, the activities were good and they way they were executed were well. ",They allowed the student to walk through their thought process and first find their mistakes before they go over it together. They also talked to the student about how their other classes are going. ,They can improve with wait time and could explain things a little more in depth rather than just using example after example. ,They redirected questions well and allowed students to look back at their notes before they answered any questions. ,"I liked how you used simpler examples to help the student remember the exponent rules and it helped them find their own mistakes. We talked about different marketing strategies, I think you should push more of those out to students. I also don’t know if it’s required but somewhere for students to write down their name and section. They should also have times on the agenda rather than the order of the activities. "
,"The opener was an interesting matrix problem that immediately got the student thinking and engaged. The activities were very hands-on and effective, I especially liked how he incorporated writing code and drawing diagrams on the whiteboard. This really helped visualize the concepts. The closer, having the student summarize the main takeaway, ensured they solidified the most important concept before leaving. ","Steven was really patient and created a low-pressure vibe. He'd ask a question and then give the student a solid 15-20 seconds of quiet time to think it through before saying anything. This kept the student from feeling rushed or put on the spot, just enough to help them get unstuck without taking over.","Redirect students to their notes or the professor's notes before explaining a concept. This encourages them to become more self-sufficient and reinforces using their primary course resources, which is important when they need help for courses not supported by SI.","He was really good at keeping the student engaged and the student were actively participating. I loved how he had them write on the whiteboard and draw out diagrams and code. Because he created such a supportive environment, the student felt comfortable asking a ton of questions, and by the end, all their confusion was totally cleared up.","it was a really solid session, especially for just one person. You made them do the heavy lifting with your hints and the wait time, which was way better than just giving them the answers. It was cool to see how many questions the student felt comfortable asking by the end. Maybe just try throwing an agenda on the board next time, but other than that, great job. You definitely helped them get it!"
,The opener was highs and lows of the weeks. I think this is a great plan to gauge the room and see how the students are doing in the class. The activities were pretty well-planned. I acted as the student and we went through the opener and the first activity which was analyzing errors in a given snippet of code. ,,"I think perhaps arriving a little earlier to write the code on the board could save some time in in the session. Due to the no-show, it was difficult to see the SI leader in action, but from my observation, there wasn't much the SI leader could work on improving at this time (which is really good)","The SI leader seemed really prepared to tackle confused responses and uncertainty by redirecting the question back to the person who asked the question and slowly walking through the beginning steps of a problem to help, which is really good. I acted as the student, and when I had trouble on a certain problem, the SI leader was very great at breaking it down into smaller pieces to help me analyze the problem at its core. This will be very helpful to students in general. ","Great job playing out the session with me. From my perspective, if it wasn't a no-show, it would've went really well! The activities you have planned seem really engaging and content-rich. You know the subject and you're doing a really good job. "
,"The opener (MOPS Chameleon) was really fun! It seems like he's done this opener before and I think it's a good warm-up to get students working up at the whiteboard and thinking about what we learned recently in lectures.
The activities also went well. I liked that he broke the struct activity up into steps and had a student or group explain their work after one of these steps to check for understanding.","It seems like most (if not all) of the students at the session have come to previous sessions and he's done a good job making students feel comfortable working with him and each other. Also, it looks like he had some good prizes for games, which probably also helps!",Write the agenda on the board!,"I think he did a really good job of making students feel comfortable in the session and used collaborative techniques really effectively (the work in smaller groups/""clusters"" went well).",I think the session went really well! I really liked the opener. Just remember to write the agenda on the board so students know what's happening if they're late!
,"Her opener started with an “element” activity, where everyone shared which element they resembled. I found this very engaging, and it immediately got the group talking and comfortable with each other. The activities were well structured — starting with a brain dump on Lewis structures, where students explained their answers on the board to the rest of the class. She encouraged students to respond to each other’s questions, which kept the discussion active. For group work, she divided the class into three groups based on their confidence with Lewis structures, and each group volunteered to answer questions step by step. This structure allowed everyone to participate meaningfully. The session ended with a clear wrap-up, and she reminded students of the end time, which helped keep the session organized.","She made sure to greet everyone as they arrived, including latecomers, and ensured they were smoothly integrated into the ongoing activity. She encouraged participation by redirecting questions to other students rather than answering them herself, fostering peer learning. She used clear expectations (like her 1–5 rule) to set a supportive tone and made sure no one was left with unanswered questions.","Nil, she did great ","She did an excellent job encouraging active participation and making sure every student had a chance to contribute. Her opener was creative, and her group division strategy was thoughtful, allowing students to work at their comfort level while still being challenged.","Overall, the session was engaging, well-paced, and interactive. She created a welcoming atmosphere, and the activities supported deep learning. With a bit more time management during group work, the session would be even more effective."
,"I loved the creative way she implemented snippets of the content into the opener (making fun riddles about topic of the Session). I think its a great way to catch the attention and set a positive, engaging tone for the session.","It was a no-show, so I didn't really see the way Irin interacted with the students","Maybe try implementing different activity types to boost engagement within the session. Since Irin mentioned that students are sometimes reluctant to participate, activities framed in a more playful or interactive way could help. For example, instead of just giving a list of problems to solve, present them as a “hangman” game where students must work together to solve the problems and uncover the word. Another idea is to break down problems into simpler, smaller concepts, which could make students more active and also highlight exactly where they are getting stuck.","Again, I loved the riddles she came up with. They made the opener feel fresh and fun","Even though this session ended up being a no-show, your preparation and creativity were very clear. Keep experimenting with engaging formats like riddles, games, or concept breakdowns — they can really encourage students to participate more actively once they’re in the room. You’re doing a great job of making the content approachable, and that kind of energy will definitely pay off in future sessions."
,"Opener (NYT Pips): I thought this was a good opener, it was kinda difficult since the student did not know of the game prior. It was not content related but still a good opener and got the session going. 

Activity 1 (Rule Match Up): Student was given a rule and told to match it to a function to differentiate around the room (hung up on the wall with flash cards). I think that this is a great activity to help practice identifying when to use each rule when you see certain types of problems. 

Activity 2 (Derivative Relay): I think this activity was meant to be a differentiating competition, but there was only one student in attendance so he ""competed"" against the SIL. I think despite this that it was still a well planned activity and was good practice for the student. A second student arrived halfway through this activity and joined in the competition, this made the activity more engaging and better practice.

Closer (Wordle): This is a good closer in my opinion as it is fun and everyone knew how to play already.","The SI Leader seems to personally know many of the students who attended, she mentioned that they are in the same major. They seemed comfortable enough to have normal conversations and it seemed to be a sign that they come to sessions frequently.","Not much improvement is needed, sometimes conversations got a little off topic but that is expected and helps the students feel more engaged.","The SI leader came very well prepared, when I arrived the room was already set up with activity cards on the wall, and the session outline written on the board.","Overall session was really good, would have worked smoother with more students but that is out of your control. Great session plan and activities."
,"Opener was asking people how they did on an exam. It's a good opener to use after an exam. Activities made a lot of sense for a calc SI session, although simple they were very effective. ",Leader was quite comfortable with the students and joked with them. They seemed very comfortable. They treated the students as if they actually knew them personally while maintaining boundaries. He was also well aware of which students would know the content less and made sure to keep them in the loop and check for their understanding. ,Would be nice to give the students a hint if they've been stuck on a problem for a very long time. Also to keep all students and engaged at all times. It can be tough if there's a really smart student who seems to know the answer to every problem while the rest are confused.,"The SI leader checked for understanding, redirected questions, and utilized wait time effectively. Took his time with longer problems. I could also tell the SI leader had a deeper understanding of the problem. Also did a warm up for the content which is nice. ","I love that you spent a lot of the session working on one very complex problem. I don't have much feedback. One time it seemed like a student was lost while the rest were solving a complicated question. It would be a good idea to ask the students to recap or to have one of them catch up the confused student so they're not just sitting there. I really liked this session, one of the best I've seen in a while."
,"Opener: 

The SI Leader opened with Highs and Lows since they haven't done them in a while. I thought it was a nice opener because students had their midterm last week and the SI Leader can gauge where students might feel with the new unit. 

Activity 1: Ranges Practice
Activity 2: String Indexing
Activity 3: For Loops

The SI Leader prepared a list of questions to review the range() function and its application. For each question, the SI Leader prepared questions that checked for understanding, such as ""What index might we start from if we want to access the end of the word?"" or ""Why do we stop at x if we want to print until x-1?"" The SI Leader definitely knows how to check for understanding and even incorporated that into the session with me alongside excellent use of wait time. 

Closer: 

The SI Leader closed with a reflection that asked students what may have confused them, what clicked, and their confidence level from 1 - 5. I think that this is a great opportunity to see where students are at and plan accordingly for next time. ","This was a no show, but I ran through the activities with the SI to see how they would do. They did well in implementing wait time even when I was the only one there. They also made it clear that had students come, they would have had them collaborate and produce code on the whiteboard while the review questions would be a group discussion. ","Since there were no students, I would say that this is not a fair assessment of their performance. However, maybe this can be a chance for the SI Leader to advertise their lessons more or find other means of bringing students in. ","The SI Leader had a very comprehensive slideshow, complete with problems and questions. I think that the SI Leader was very organized in making this and that it helps the students clearly understand what to do. ","I think that the SI Leader did an excellent job in preparing for their session and presenting to me. It is unfortunate that no students showed up this time, but keep your head up and keep moving forward!"
,"Opener: how did the exam go? This was pretty good, I think it would work better with a group, so you can redirect questions but it was a good chance for the student to ask questions and get clarity 
Activity: covalent compound practice; This was kind of like what I would call a mini lecture review. They went through content from class and had the student answer before filling in the blanks on the slide with an answer key. There were some good questions where the student had to demonstrait their knowlege (which allowed Elena to test for understanding). The ""relationship"" analogy seemed very helpful! 
Closer: infinite craft; unfortunately the student left before this but its a very fun game","Yes, definitely! There was only one student, and Elena did a great job asking them specific questions about their exam this morning, and working through what they needed. I can imagine it may be intimidating to be the only student, but Elena made them feel very comfortable. ","I think the session was a little bit lecture-y, but I understand that it's hard not to do that when there aren't enough students to collaborate. There was one slide where they were talking the stuctures of molecule compounds and it seemed like a good opportunity for students to piece together the structure (prefix, suffix, etc.) together. ",Creating a comfortable learning environment and adapting the session plan to accommodate only having one student. Also validating the student for their successes and pushing them to expand on their answers to check for understanding. ,I would love to see some activities that get students moving around (and collaborating if applicable)
,"Loved the opener! Super chill, fun for the season, and really got the student talking! I thought the content was very appropriate - they reviewed the questions the student got wrong on the exam. Reviewing mistakes is fantastic to check understanding and ensure the student brushes up the foundational skills they were missing, because I know in math courses you need to know things from one unit to move on to the next. As a closer they went over other resources the student can utilize which was awesome.","Yes, the SIL is very warm and approachable, has no problem talking to students. It was obvious students felt super comfortable at the session. They chatted about the opener, classes, the exam, etc. ","The SIL did not have the agenda on the board, which should be done in the future. Additionally, the SIL was in a room in WAL that is locked and hard to look into, I had to knock to get let in. I think that can scare people away from the session if they're already hesitant and then they arrive and they can't tell if the session is being held or not because they can't see in and the door is locked. I recommend as soon as you get there propping the door open, even if you're not set up you can make small talk while setting up which is what I do.","The SIL had a great opener and is great at talking to students and building rapport. The SIL brought stickers which is a great marketing strategy - other students might see the stickers and ask about SI, gives students a reason to come, so great job! The content was super great and appropriate. The session was very student led and not lecture-y at all which was awesome! Love that you talked about other resources available to the student for help!","Overall, this was a great session! The opener was fun and a great way to break ice, build rapport, and get students talking. The content was appropriate and helpful for students - going over past mistakes on an exam is awesome!! The session was student led, and the student obviously felt comfortable in your session environment! Going forward I recommend leaving the door propped open as soon as you arrive at the session room so students know they can come in/ have found the right room, and make sure you remember to write the agenda on the board so students know what to expect. Other than that great job! Keep up the good work! :)"
