,Class that the SI Leader Supports,Number of Students in Attendance:,Which portion of the session did you observe during this walkthrough?,"While observing the session, did you observe any of the following? Check all that apply.",What did the SI Leader do well?,What could the SI Leader improve?,What yellow/red flags did you notice?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:
,CSCI-140,5,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Time is managed effectively, SI Leader checks for understanding among students, An opener and closer were included","The classroom seemed to have a very friendly atmosphere (especially because when I walked in and was introduced as some coworker/boss, the students said 'give SIL a raise!') I also noticed her effort to learn the students' names, which is great. ","Especially in the beginning, it seemed like a lot of Zoe standing in the front while the students sat in rows; it can be annoying to rearrange tables in the Wallace classrooms so I'd highly recommend designing more whiteboard focused activities! 
Also, it's a hard habit to get out of, but she should work on checking understanding; she did more often ask 'does that make sense?' and get blank nods rather than making them prove their understanding. And lastly, don't forget to write the agenda on the board! ",,,,
,CHMG-141,9,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","I thought you made a funny joke when you were having QR code technical difficulties, ""I know chemistry not computers"". It was good that you had a backup in case the QR code didn't work. I thought the time management was very good with the opener. You did good handling one student that knew all the answers and tried calling on other students to answer questions.","The session was almost perfect from what I saw. I felt like you could have picked some other students to answer questions, and you let the same student answer a lot of questions.",,,,
,MATH-171,3,Middle,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive",I thought you gave a good tip about thinking about the graph of tan in terms of sin and cos. I liked how after each question in the kahoot you had a student explain the answer. I liked how you made sure each student had to explain the answers by picking on a student who hasn't answered yet. I liked how you spent some extra time helping one student understand the graph by letting the other students try to explain it.,Make sure the agenda is visible on the board at all times.,I couldn't see an agenda written on the board.,,,
,MATH-171,4,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","You did a great job creating a friendly and inviting environment, all of the students seemed to be having fun and engaged with the content. Also absolutely phenomenal redirecting! Even though you had one vocal student, you never let them talk over the others and would always call on the more shy ones for answers and checking for understanding. Not letting them ask you for the answers was handled great, loved the ""fly on the wall"" analogy. This was a great session, and you were a natural! BOOM","The only thing I'd recommend is make sure to include your session plan on the board. This makes it easier for late arrivers to jump right in and understand what activity's being done. I'd also recommend having the jeopardy board prepped beforehand to save time, but that's more of a personal preference. ",,,,
,CSCI-141,1,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","You were very friendly towards the students, and had a good mix of coding vs conceptual practice once the activity started. Also good job including the new student in with the activity right away. I know it's also a bit difficult running session when there's only one student at the start, but you handled it pretty well. Good job catching attendance and having everyone re-introduce themselves once more people came in! Also good job calling on the more quiet students.","I'd recommend trying to stay away from lecturing a bit, but it is difficult when there's no student to redirect to. I'd also suggest putting what type of activities you're doing on the agenda, instead of just the topic. At the beginning of the session, I'd also suggest having the student come up and draw out the pattern on the whiteboard from the start to get them actively participating instead of trying to think through the answer. ",,,,
,CHMG-141,1,Opening,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","The SI Leader checked for student's understanding. She did a ""on a scale, how do you feel"" after each problem. There were different ways for the student to practice the content and the questions varied in how they checked if the student understood the material. There were questions asking for differences between things and a table. The table allowed the students to see a different way to study or present the information to themselves. When the student answered questions, she asked additional questions to ensure he completely understood the material (good check for understanding).
There was only 1 student so it was nice that the co-lead took part in the activity so he didn't feel alone.","The session was wonderful, so I am just nitpicking here. The entirety of the part of the session I saw was focused on practice problems. In future sessions, you could add new ways to practice the material like brain dumps or games to show more ways for the student to study. Also, make sure to put the agenda on the board.",Yellow: The agenda wasn't on the board.,,,
,GCIS-123,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails",,"He said the professor puts the SI session times on the projector at the start of class. He also said that he does his session plans in powerpoint first before transferring them over to the session plan doc. I looked through his powerpoint and it seemed very good for collaborative activities, no sign of lecturing. I told him about the marketing strategies that I used in the past, attendance rewards, rubber ducks."
,MATH-171,3,Opening,"SI Leader is prepared for the session, SI Leader is approachable, Time is managed effectively","His voice projected very well without being too loud. When the student was struggling to remember the conditions for limits, he was able to come up an example on the spot using his hands to represent the graph of a function with a gap in it. When he started explaining something, he still made sure the student was paying attention by asking them to fill in a value. He had a deaf student and he handled communicating with them by writing messages on his phone. He had the students explain the answers to each kahoot question to check for understanding.",The only bad thing I noticed was no agenda.,I didn't see an agenda at the session,,,
,CSCI-242,7,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","When I walked in all of the students were working in groups on whiteboards without any help from Isaac. I really like how he showed animations that he found on youtube to help the students remember the searching algorithms. He let the students discuss upon themselves and didn't interrupt them. He helped guide them back on track with simple redirecting questions, like, ""do you need iteration?"". ",He could make the agenda visible during the entire session. I'm not sure if it was visible at the beginning because I walked in half way through the session.,I couldn't see an agenda,,,
,MATH-171,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Collaborating with professor to gain ideas for their session, Weekly emails",Jhoelle ran one of her activities for me. She used a tricky question from the class to make sure that the students would know how to solve it in case it showed up on an exam. She showed that she knows what the students are struggling with because she explained how she would include syntax errors in writing the function.,I showed Jhoelle the marketing request form and suggested giving the students a reward for coming to a certain amount of sessions.
,ECON-101,3,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), SI Leader demonstrates adaptability and flexibility when needed, The SI Leader sets a tone that is both comfortable and productive","SI leader had good positive energy. Students were all engaged and participating which is great! I liked the SILs ability to adjust the practice questions to fit the students knowledge so far. He got all students engaged in the practice questions, they seemed comfortable participating and asking questions. There was good discussion during the question and good use of redirecting questions. ",I think the SI leader could improve on ensuring that the session is more student led. I liked the discussion of the practice question/graph that was being worked on however the students could be more involved by being up at the white board filling in the graph. In the future a agenda up on the white board is a good idea. Overall a great leanring environment! ,"The SI leader was up at the board drawing a diagram, which could be shifted to have students up at board. (not sure if thats a yellow flag)",,,
,MATH-171,2,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","The SI leader did a really good job redirecting questions and checking for students understanding. He asked very good follow up questions, rephrased questions to see if students understood the concepts. He also had students explain the concepts to each other, and show this knowledge later on practice questions. The session was very student led, the students were actively up at the board and writing things out. Students seemed comfortable with each other and the SIL. Good positive leanring environment! ","I think this SI leader did a great job, if anything he could improve on his wait time. ",None,,,
,CSCI-243,1,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive",The SI leader did a great job catering his si session to the one student and keeping him engaged/participating. He was very supportive and encouraging during the activity. He also did a good job checking for understanding throughout the activity by asking good open ended questions. I also really liked the flow of the sessions content activity and having the student up at the white board answering questions.,"The SI leader did a really good job, not much for improvement if anything longer wait time which is hard with one student (very minor)",None ,,,
,GCIS-123,1,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive",The SI did a great job guiding the student through the question with pointers and follow up questions. He ensured the student understood the content and the session was very student lead. I liked the white board work that the student held the marker and was working on questions. ,"The SI leader could improve on wait time, which is sometimes difficult with only one student. I think he could wait a little longer and give the student time to consider. Redirecting questions is also helpful, however hard with one student. ",None ,,,
,CHMG-141,3,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","The SI leader did a great job engaging all the students. I loved the opener which was a study skill kahoot. Super fun and great way to talk about study skills and learning strategies!! The learning environment was encouraging, fun and positive. Also did a good job redirecting questions and discuss study skills for this class. ",The only thing I would say would just be to have the agenda up on the board which I'm sure was just a one off. ,None ,,,
,KGH A055,6,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","This session seemed super well structured and thought out! The fill-in-the blank activity on the whiteboard seemed really informative, and covered a lot of content. I also really liked to see the students collaborating on the second ""label the element"" section, especially the follow-up questions you asked. The music was also a nice touch! ","Towards the first part of the session, I'd recommend trying to make the session a bit more collaborative. When the students filled out the fill-in-the-blank columns, it seemed to be largely independent and there wasn't much talk between the students. It may be because your group seems a bit more shy and quiet, but congratulating students when they get questions right would really help. I'd also recommend redirecting questions more when students are unsure, and calling out random students. ","A very light yellow flag, but this session seemed a bit low-energy. People were speaking in whispers, and the leaders seemed a bit reserved. This could absolutely be something that resolves itself as they get more confidence and practice!",,,
,MATH-171,1,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","Great job at keeping the student engaged and always asking good questions! You explained concepts very well when the student was confused, and would offer good hints to lead them in the right direction without outright giving them the answer (good wait time during this as well). Also really good flexibility with asking the student what they were most confused about and being willing to adjust your plan to accommodate. Your agenda on the board was also very detailed, which is always good to see!","It's unfortunate only one student was at the session, it seemed like the activities would have been especially good with collaboration. You might want to try some additional marketing techniques to increase attendance, like announcing the session during class or having attendance get them some sort of reward (from a marketing request or a study guide). I'd recommend possibly making your opener a bit longer because you had a bit of extra time, possibly trying something not content-based. Other than that, good job!",,,,
,CSCI-141,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails",,"This was Chris's first no-show - he has gotten good attendance in his A sessions but not in his B sessions. He decided to submit a request to change his session time to be better aligned with when his students are free on Thursdays. We chatted about marketing and incentives to get his students to come to sessions, and he agreed that putting in a request for candy/snacks would be a good idea. He briefly showed me his session plan and we talked about the activities he's been doing in previous sessions. Overall he said he is feeling good about running sessions and I told him to not get discouraged!"
,PHPS 106,16,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","Right off the bat, I really enjoyed that the session felt welcoming. One of the first things I heard Emma say was ""SI is the place to make mistakes!"" I always said this in sessions because it's true - SI absolutely is the place to make mistakes (better in session than on an exam) and I'm really glad she's telling the students that. On one of SIL's problems, there was a small mistake and the students pointed it out - I'm not sure if this mistake was intentional or not, but regardless it was a great way to check for understanding, and to make sure that the students are keeping up. 

SIL also checked for understanding using the thumbs method, which is great. She also really did well with redirection questions, asking the students to explain how they worked through the problem and encouraging them to redo old problems in order to practice this topic. Already encouraging students off the bat to go back to previous SI material as a form of review is GREAT! As I left the session, SIL handed out notes organizer worksheets to the students and instructed them to collaborate with the people at their table when completing it.","When I stepped into the room, the students and Emma were in the middle of doing a problem on the board together. The majority of the students were engaged and had their notebooks out, but a few students in the back table were a little distracted and had their cameras out (photo majors lol) and were kind of messing around. Audrey did a good job at correcting their behavior and making sure they were paying attention, but in general, the students' attention should be fully focused on their SI leaders. 

Emma also looked a little nervous (which is totally understandable bc the inverse square law is hard to do in sessions), but just remember that YOU are the one who has taken the class already, not the students!! You passed the class and know the material, so don't be afraid to own up to that! Even if you're nervous, fake it til you make it - the more confident you are in the material, the better your students will feel too, because they are learning from you. Also I'm nitpicking but don't be afraid to be a little louder!! I know you are a quiet person but the sessions are gonna get busy soon so don't be afraid to take charge :) ",no agenda on board but they always put it in their slides lol,,,
,MATH-171,2,Middle,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","Right off the bat when I came in, SIL and the student were working through a problem together at the board. When they reviewed it together, SIL mentioned to the student that he should always show his work, because the work that he had just done might not have gotten the student full credit for the problem. Immediately following this, the student began working on a second problem and SIL stood back to let the student try the problem on their own. The student ended up doing the problem correctly, worth full points if it were on an exam. They celebrated afterwards! I really loved seeing this interaction between SIL and his student. I can tell that even though there was only one student present at the session, they had great rapport and the student is willing to commit to learning. 

Additionally, SIL did well with facilitation techniques. He was strong in all three, but most especially in redirection questions. A second student showed up about 1/3 of the way through the session, and Julio effortlessly caught the student up to speed and encouraged him to jump in to collaborate with the other student, who was working on a graph. SIL did a great job letting the students take the lead to work on the graphs.",I didn't notice an agenda on the board - this was honestly the only thing I noticed! There could have been a bit more checking for understanding but I'm nitpicking. You adapted really well when the second student joined in late and I think this was a great session overall!,no agenda on board,,,
,MATH-101,3,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","You did a great job in keeping all of the students engaged! I really liked how you were asking the other students questions even when one was writing on the board. It seemed like they were understanding what was going on, and you did a good job with checking in with them. Good redirecting questions, and it seemed like the questions were a good level of challenging. Asking if any of them needed to leave early for class also showed good time management. ","Remember to write the agenda on the whiteboard! I'd also recommend a slightly more collaborative second activity than going over an example, than having each of them complete them on their own. I did like the second half of the activity when they explained their work to each other though, it may have been better to start with that part. ",,,,
,MATH-171,2,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","SIL's students were working on IVT and graphing when I walked into the session. Something I immediately noticed about Sofia when I walked in was that she was letting her students collaborate on the problem and giving them limited instruction. One student was up at the whiteboard writing and the second student was close behind, looking at his notes and chiming in with little help from SIL. After they finished the problem, SIL asked them to repeat the steps back to her, which is great checking for understanding. Sofia was very attentive to both her students throughout the session, especially when they were asking questions, and she overall created a welcoming session environment! If I were taking calc, I would love to come to her sessions. ","Being pretty nitpicky because the part of your session that I observed was overall really strong - the one thing I did notice is when you were talking to the students about exponential functions, you asked them ""does this make sense?"" when showing them that negative exponents go on the bottom. Because ""does this make sense?"" is a simple yes or no question, it gives your students the opportunity to say yes even if they don't fully understand. In the future, you can continue to ask ""does this make sense,"" but follow it up with a deeper question such as ""how does this make sense?"" or ""can you explain why this makes sense?"" I hope this is helpful feedback for you!",,,,
,MATH-171,2,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","When I walked into the session, both of SIL's students were collaborating up at the whiteboard solving a problem. SIL was standing back and letting the students work their way through the problem. The students were using each other as a resource and asking each other questions, which was great to see. The students were fully engaged throughout the 15 minutes I was there. One thing I also liked that SIL did is that he knew what format the professor wanted for answers to problems. He made sure his students were aware of the way the professor wants the answers to be written, and I'm sure this will be helpful for when the students have a quiz or test.","I didn't see an agenda on the board - make sure to include this in case you have students who walk into your session late. I enjoyed how much collaboration there was between your students when they were solving the problems, but I did not see you check for understanding at all when you moved from one problem to the next. Checking for understanding is super important because it ensures that your students are solid on one topic before moving onto the next one. Here are a few different ways you can check for understanding in future sessions:
- thumbs method: have students hold up thumbs up, thumbs in middle, or thumbs down based on how confident they're feeling in the material
- scale of 1 to 5: similar to thumbs, but with numbers. Just ask your students how they are feeling about the material; 1 is bad and 5 is good, etc
- have students repeat the steps of the problem back to you after solving it; this one might work pretty well since you support calc!",no checking for understanding,,,
,CSCI-141,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails","This was Matthew's first no-show, and he said his attendance has been okay the past few weeks. He has been sending out emails and writing the days/times of sessions on the board in classes. He said he also has a pretty good relationship with his professor and they have been helping him promote SI. 

We chatted about his session plan, and I really enjoyed his gallery walk activity that he had planned. He had a bunch of different whiteboards set up around the room to do this - it's really awesome to see SI leaders utilizing larger rooms like Wallace/shed to their advantage, even if their attendance numbers are lower. I mentioned to Matthew that he should try and reuse this gallery walk activity in a future session since he didn't get to run it today. Overall Matthew is feeling good about the role and I told him to try not to get too discouraged by a no-show!",
